_id,partner,course,skills,rating,reviewCount,level,certificateType,duration,creditEligibility
66fe20076f4453256b07a955,DeepLearning.AI,Neural Networks and Deep Learning,"[' Artificial Neural Networks', ' Deep Learning', ' Machine Learning', ' Machine Learning Algorithms', ' Python Programming', ' Computer Programming', ' Network Architecture', ' Network Model', ' Calculus', ' Human Learning', ' Regression', ' Mathematics']",4.9,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a957,DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","[' Applied Machine Learning', ' Deep Learning', ' Machine Learning', ' Artificial Neural Networks', ' Machine Learning Algorithms', ' Algorithms', ' Computer Programming', ' Mathematics', ' Python Programming', ' Mathematical Theory & Analysis', ' Tensorflow', ' Human Learning']",4.9,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a956,Johns Hopkins University,Business Analytics with Excel: Elementary to Advanced,"[' Business Analysis', ' Data Analysis', ' Data Visualization', ' Spreadsheet Software', ' Data Model', ' Decision Making', ' Microsoft Excel', ' Process Analysis', ' Statistical Visualization']",4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a970,Rice University,Spanish for Successful Communication in Healthcare Settings,[' Communication'],4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a958,"University of California, Davis",The Strategy of Content Marketing,"[' Digital Marketing', ' Marketing', ' Writing', ' Strategy']",4.5,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a959,DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,"[' Machine Learning', ' Natural Language Processing', ' Probability & Statistics', ' Python Programming', ' Machine Learning Algorithms', ' Applied Machine Learning', ' Computer Programming', ' Human Learning', ' Mathematics', ' Statistical Machine Learning']",4.6,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a971,Northwestern University,Sports Marketing,"[' Communication', ' Marketing']",4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a972,IBM,Introduction to Deep Learning & Neural Networks with Keras,"[' Algorithms', ' Artificial Neural Networks', ' Deep Learning', ' Human Learning', ' Machine Learning', ' Machine Learning Algorithms', ' Network Model', ' Applied Machine Learning', ' Network Architecture', ' Python Programming', ' Regression']",4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a973,University of Michigan,Data Collection and Processing with Python,"[' Computer Programming', ' Python Programming']",4.7,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a974,University of Alberta,Fundamentals of Reinforcement Learning,"[' Machine Learning', ' Reinforcement Learning', ' Machine Learning Algorithms', ' Python Programming', ' Statistical Programming', ' Computer Programming', ' Decision Making']",4.8,0,Intermediate , Course , 1 - 3 Months,False
